iteration,objective_value,w_rank1_gap,b_rank1_gap
0,23.559918061037074,0.03599999999999248,0.03599999999999959
1,21.56059205766081,8.756120095654296e-08,2.391385648407628e-07
2,21.55491842460338,-8.211263675317326e-05,-0.00010061780895078557
3,21.55500759174783,3.975229203589947e-07,4.1103593927278886e-07
4,21.554966975179155,1.6890049332474177e-06,1.7038797563657604e-06
5,21.554933284691156,5.352364409461075e-07,4.1329562630917543e-07
6,21.554920658343335,2.109619115842065e-06,6.085907134674204e-07
7,21.554906048417447,4.0280509794321517e-07,-1.8785210748739054e-07
