case_id,penalty_based_obj,penalty_based_time,gaussian_based_obj,gaussian_based_time
1,20.79590471210147,0.8026520535349846,20.79627577328248,12.04069086164236
2,26.7969196694596,0.640203595161438,26.797248088073005,12.533120460808277
3,40.44180171238979,0.6344071477651596,40.442241547648806,12.634657569229603
4,44.137732407808016,0.8014398515224457,44.13794722466091,12.266406834125519
5,30.109121721682687,0.7689891308546066,30.10958329531344,11.666753470897675
6,17.584101963512865,0.6732344403862953,17.584264974842558,12.030538402497768
7,10.519659043444932,0.6822462230920792,10.51987558958214,11.810428202152252
8,42.50528783083691,0.7246850430965424,42.50551789199266,11.886355876922607
9,19.776088416232597,0.5073706284165382,19.776444045066427,11.376040235161781
10,14.867130182700498,1.2757745906710625,14.867486383258134,12.481348171830177
11,21.047625970360226,0.5432425960898399,21.048013292744137,12.181722320616245
12,35.64606611370974,0.5969147980213165,35.64649498255313,12.324601672589779
13,57.56145405722723,0.6559787541627884,57.56159140515717,12.059404373168945
14,15.733827868185285,0.7093898802995682,15.734019826428987,12.824774831533432
15,26.221427470299815,0.5148137658834457,26.221571452534686,11.397912062704563
16,21.238021229313492,0.6473775506019592,21.238408705988597,12.05867463350296
17,17.0204959731369,0.5977681875228882,17.020710681985477,12.02982596307993
18,22.915721960031917,0.6067718714475632,22.916037321223385,12.329053245484829
19,21.497528083231945,0.4974023774266243,21.497922782431317,11.476646460592747
20,50.5164203036248,0.5901768654584885,50.51674905425396,11.428912587463856
21,32.93659614064271,0.549556702375412,32.93683534283853,11.531415767967701
22,39.801264988284025,0.6656695678830147,39.80158980662305,11.916635863482952
23,31.09091990481046,0.6914727091789246,31.091332496860304,11.940868712961674
24,34.982651284099454,0.6402594372630119,34.98300238290577,12.367165394127369
25,17.49026099710813,0.6673789545893669,17.49046043968448,12.232384219765663
26,9.390577649758693,0.6980799436569214,9.39093598884329,12.79952386021614
27,26.814369360275403,0.6094514653086662,26.81482379716058,11.885061144828796
28,14.411114473106142,0.6353100538253784,14.411470229482852,11.757558599114418
29,46.81404471012263,0.6455356106162071,46.814185970909236,11.875600598752499
30,38.71627267532657,0.5084560588002205,38.71656446639869,11.472136825323105
