iteration,objective_value,w_rank1_gap,b_rank1_gap
0,17.571705762505246,0.03599999999998893,0.05400000000000382
1,14.878191438628917,5.867180263741112e-05,5.8700824831160056e-05
2,14.867344086409798,1.7016539620245963e-05,1.738647906455861e-05
3,14.867354928440369,5.411038537794788e-07,6.414981101499035e-07
4,14.867158802216977,3.833910367234683e-07,5.017277637438938e-07
5,14.86717448100794,2.231547591713401e-07,2.524470838010328e-07
6,14.86713065830234,3.5726304442595946e-08,5.9278137899221404e-08
